Name;lineA;lineB;lineC;lineD;firstAngle;secondAngle;thirdAngle;fourthAngle;square;S_Dug1;S_Dug2;S_Dug3;S_Dug4;zolH;zolW;heightSeed;widthSeed
1-1-1b.jpg;189.0;590.0;169.0;113.0;72.67695306791771;122.21369112254564;49.75210026728077;115.3572555422559;136067;3813.529566001147;11904.669015559135;7959.926619870901;2549.874798568815;1.668639053254438;4.121693121693122;282.0;779.0
1-1-1p.jpg;401.0;508.0;170.0;145.0;42.8538260670655;138.52336785070707;58.96482183200648;119.65798425022096;168463;6022.296383606612;7629.24329893307;6507.295754972321;5136.664562487989;1.8529411764705883;2.266832917705736;315.0;909.0
1-1-2b.jpg;238.0;496.0;164.0;98.0;56.94991508633042;127.13400157259474;49.157110081383905;126.75897325969093;130126;6895.16350853839;14369.752521995964;8586.80333631466;4120.2806331509855;1.5975609756097562;3.0840336134453783;262.0;734.0
1-1-2p.jpg;202.0;473.0;104.0;131.0;60.20574932180422;140.35777257352458;63.954666499510836;95.48181160516035;138342;7817.757200945627;18305.936416075652;23058.439139479902;9847.367243498818;2.2596153846153846;3.3415841584158414;235.0;675.0
1-1-3b.jpg;388.0;578.0;167.0;92.0;36.62689091433397;140.59690662086723;44.96574127641857;137.8104611883802;132632;1951.4371247911622;2907.0377786837344;1601.4818900533173;1075.0432064717752;1.5508982035928143;2.4896907216494846;259.0;966.0
1-1-3p.jpg;344.0;560.0;119.0;137.0;40.797257283019654;148.92105068435194;61.0188894849437;109.26280254768469;151324;6299.315680309734;10254.69994469027;11805.831028761066;7252.153346238938;2.1512605042016806;2.627906976744186;256.0;904.0
1-1-4b.jpg;269.0;556.0;139.0;68.0;41.51318748152603;138.63706334410818;40.104522878079784;139.74522629628598;113619;6181.256135265699;12776.127922705316;6250.192077294687;3023.923864734301;1.4892086330935252;3.066914498141264;207.0;825.0
1-1-4p.jpg;287.0;564.0;138.0;92.0;43.453575794830535;140.57101702738117;47.4391165093991;128.5362906683892;130954;6695.5649823736785;13157.835017626327;8771.890011750882;4463.70998824912;1.6666666666666667;2.965156794425087;230.0;851.0
1-1-5b.jpg;320.0;350.0;139.0;82.0;37.85170009392205;134.86093060177342;52.197695106595035;135.08967419770948;117696;13115.697170257314;14345.293779968932;8462.691294657932;7737.317755115826;1.589928057553957;2.09375;221.0;670.0
1-1-5p.jpg;323.0;367.0;93.0;157.0;41.98537793578164;149.7177652278978;73.57910206075748;94.71775477556308;142364;9771.643165217392;11102.764834782607;18743.377194202898;16496.2148057971;2.6881720430107525;2.136222910216718;250.0;690.0
1-1-6b.jpg;278.0;435.0;140.0;88.0;44.294708455778434;135.43010192381104;49.99249944898585;130.2826901714247;128582;11324.253832336803;17719.605816786003;11138.037941979775;7118.102408897419;1.6285714285714286;2.564748201438849;228.0;713.0
1-1-6p.jpg;425.0;279.0;96.0;165.0;33.94646303785012;148.28388245105833;78.79600112691257;98.97365338417896;151348;13206.530825496338;8669.699059561128;14901.045258620688;22698.724856321838;2.71875;1.6564705882352941;261.0;704.0
